Movie Name,Release Year,Movie Runtime,Total Song Length,Number of Songs
Madras Cafe,2013,120,61.57,9
Maazii,2013,130,49.77,7
Mickey Virus.,2013,135,24.5,6
Krrish 3,2013,152,37.17,7
Satya 2,2013,142,85.43,10
0,2013,155,95.18,12
Gori Tere Pyaar Mein,2013,150,36.97,9
R... Rajkumar,2013,146,30.75,8
Dhoom 3,2013,172,54.78,8
Mr Joe B. Carvalho,2014,130,16.9,5
Sholay,1975,204,28.97,7
Dedh Ishqiya,2014,148,42.82,8
Yaariyan,2014,145,62.5,13
Karle Pyaar Karle,2014,110,36.58,7
Jai Ho,2014,142,70.02,10
Hasee Toh Phasee,2014,141,46.05,7
Gunday,2014,152,43.0,10
Shaadi Ke Side Effects,2014,145,50.55,2
Gulaab Gang,2014,139,38.87,8
Total Siyapaa,2014,108,17.28,5
Bewakoofiyaan,2014,119,24.75,6
Ragini MMS 2,2014,119,51.43,7
O Teri,2014,107,20.43,6
Main Tera Hero,2014,128,25.88,6
Dekh Tamasha Dekh,2014,110,20.45,3
Khwaabb,2014,101,41.15,7
M3 - Midsummer Midnight Mumbai,2014,136,14.48,3
Fugly,2014,134,4.08,1
Humshakals,2014,158,24.65,6
Ek Villian - There's One in Every Love Story,2014,129,31.33,6
Bobby Jasoos,2014,121,30.22,5
Humpty Sharma Ki Dulhania,2014,135,51.27,8
Hate Story 2,2014,139,36.93,8
Singham Returns,2014,145,20.65,5
Mardaani,2014,111,5.07,1
Finding Fanny,2014,101,12.77,4
Daawat-e-Ishq,2014,123,55.37,8
Khoobsurat 2,2014,127,23.8,6
Chaarfutiya Chhokare,2014,119,12.38,2
Bang Bang!,2014,156,16.93,4
Ekkees Toppon Ki Salaami,2014,140,36.63,6
Mumbai 125 KM,2014,99,21.47,5
Sonali Cable,2014,120,62.95,9
Happy New Year,2014,180,88.33,12
The Shaukeens,2014,117,22.35,6
Kill Dil,2014,127,74.48,9
Titoo MBA,2014,107,22.12,6
Ungli,2014,114,37.78,6
Action Jackson,2014,144,35.2,9
Sulemani Keeda,2014,89,26.18,12
Badlapur Boys,2014,123,13.18,3
Tevar,2015,159,14.43,3
Sharafat Gayi Tel Lene,2015,108,15.03,4
Dolly Ki Doli,2015,93,23.75,5
Khamoshiyan,2015,122,100.35,14
Shamitabh,2015,135,51.65,7
MSG: The Messenger,2015,191,32.28,7
Badlapur,2015,128,23.23,6
Dum Laga Ke Haisha,2015,110,29.17,7
Badmashiyaan,2015,132,30.95,7
Coffee Bloom,2015,90,13.72,3
Dirty Politics MHA,2015,130,8.52,2
NH10,2015,115,33.08,9
Hunterrr,2015,141,32.07,7
Detective Byomkesh Bakshy!,2015,139,54.65,8
Dharam Sankat Mein,2015,129,55.0,9
Ek Paheli Leela,2015,144,26.85,7
Margarita with a Straw,2015,100,29.15,9
Ek Adbhut Dakshina Guru Dakshina,2015,120,33.1,7
Kuch Kuch Locha Hai,2015,144,28.18,7
Piku,2015,122,23.08,5
Bombay Velvet,2015,149,67.87,15
Main Hoon Rajinikanth,2015,127,15.0,3
Tanu Weds Manu Returns,2015,128,40.9,10
Ishqedarriyaan,2015,135,48.68,7
P Se PM Tak,2015,123,7.78,2
Welcome 2 Karachi,2015,131,19.78,5
Hamari Adhuri Kahani,2015,129,79.17,8
ABCD 2,2015,154,87.07,11
Miss Tanakpur Haazir Ho,2015,154,9.78,3
Uvaa,2015,120,25.57,5
Bezubaan Ishq,2015,130,83.98,9
Thoda Lutf Thoda Ishq,2015,101,20.07,5
Bajrangi Bhaijaan,2015,159,57.62,11
Aisa Yeh Jahaan,2015,129,54.63,7
Masaan,2015,109,18.05,3
Drishyam,2013,164,10.33,2
Gour Hari Dastan,2015,114,38.87,22
Katti Batti,2015,135,58.6,7
MSG-2: The Messenger,2015,133,24.13,7
Kis Kisko Pyaar Karoon,2015,133,36.48,9
Bhaag Johnny,2015,119,22.78,5
Singh Is Bling,2015,139,61.55,9
Talvar,2015,133,15.95,4
Jazbaa,2015,123,40.45,6
Chinar Daastaan-E-Ishq,2015,115,14.13,3
Pyaar Ka Punchnama 2,2015,136,15.17,4
Shaandaar,2015,144,32.1,7
Guddu Ki Gun,2015,130,26.62,7
Four Pillars of Basement फोर पिलर्स ऑफ बेसमेंट (Hindi),2015,116,36.2,5
Charlie Kay Chakkar Mein,2015,102,15.98,4
Yaara Silly Silly,2015,108,61.18,8
Ranbanka,2015,98,31.48,5
Prem Ratan Dhan Payo,2015,164,78.63,11
Hate Story 3,2015,127,34.12,7
Dilwale,2015,155,29.6,7
Monsoon Shootout,2017,92,23.18,6
Irudhi Suttru,2016,109,36.1,6
Mastizaade,2016,107,20.35,5
Sanam Teri Kasam,2016,154,88.43,10
Ghayal Once Again,2016,122,9.45,2
Fitoor,2016,129,60.12,7
Sanam Re,2016,118,86.83,10
Direct Ishq,2016,130,35.57,8
Ishq Forever,2016,125,42.48,11
Loveshhuda,2016,133,91.07,14
Neerja,2016,121,14.22,4
Love Shagun,2016,120,40.7,6
Jai Gangaajal,2016,149,81.17,12
Teraa Surroor,2016,106,75.18,9
Kapoor & Sons,2016,140,36.45,6
Rocky Handsome,2016,126,78.22,8
Ki & Ka,2016,126,48.12,7
Love Games,2016,60,52.92,8
Nil Battey Sannata,2016,104,21.67,7
Laal Rang,2016,150,41.45,8
Baaghi 2,2018,144,25.05,6
Shortcut Safaari,2016,101,13.47,4
1920 London,2016,117,53.02,7
Housefull 3,2016,134,15.83,4
Do Lafzon Ki Kahani,2016,128,31.37,7
Te3n,2016,136,42.8,6
Udta Punjab,2016,149,38.88,9
Raman Raghav 2.0,2016,127,38.92,6
Junooniyat,2016,130,63.33,7
